Well_ID,File_Name,Protocol_Type,IV_Number,Cell_Type,Cell_Concentration,Compound,Concentration_uM,Series_R_Mean_MOhm,Series_R_Min_MOhm,Series_R_Max_MOhm,Series_R_Std_MOhm,Seal_R_Mean_GOhm,Seal_R_Min_GOhm,Seal_R_Max_GOhm,Seal_R_Std_GOhm,Capacitance_Mean_pF,Capacitance_Min_pF,Capacitance_Max_pF,Capacitance_Std_pF,Peak_Current_Mean_pA,Peak_Current_Min_pA,Peak_Current_Max_pA,Peak_Current_Std_pA,Current_Density_Mean_pA_per_pF,Current_Density_Min_pA_per_pF,Current_Density_Max_pA_per_pF,Current_Density_Std_pA_per_pF,Conductance_Raw_Min_nS,Conductance_Raw_Max_nS,Conductance_Raw_Range_nS,Conductance_Raw_Mean_nS,Conductance_Normalized_at_Vmax,Conductance_Normalized_at_Vmin,V_mid_mV,Slope_k_mV,z_a_elementary_charges,V_min_fit,V_max_fit,R_squared,RMSE,Fit_Quality,Fit_Converged,Temperature_C,Nernst_Potential_mV,Num_Voltage_Steps
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,0,0,0
